symbol,group,name
TIP,Bond,พันธบัตรชดเชยเงินเฟ้อ สหรัฐ
LQD,Bond,หุ้นกู้เกรดลงทุน สหรัฐ
HYG,Bond,หุ้นกู้ผลตอบแทนสูง สหรัฐ
BNDX,Bond,ตราสารหนี้โลก (ไม่รวมสหรัฐ)
BWX,Bond,พันธบัตรรัฐบาลโลก (ไม่รวมสหรัฐ)
IGOV,Bond,พันธบัตรรัฐบาลนอกสหรัฐ
EMB,Bond,พันธบัตรตลาดเกิดใหม่ (สกุลดอลลาร์)
^TNX,Bond,ผลตอบแทนพันธบัตรสหรัฐ 10 ปี (%)
^TYX,Bond,ผลตอบแทนพันธบัตรสหรัฐ 30 ปี (%)
^FVX,Bond,ผลตอบแทนพันธบัตรสหรัฐ 5 ปี (%)
^IRX,Bond,ผลตอบแทนตั๋วเงินคลังสหรัฐ 3 เดือน (%)
